city_name	state_abbrev	county_name	latitude	longitude	timezone	dst	zipcodes	year_incorporated	year_founded
Anchorage	AK	Municipality of Anchorage	61.216799	-149.87828	-9	1	99501,99502,99503,99504,99507,99508,99509,99510,99511,99512,99513,99514,99515,99516,99517,99518,99519,99520,99521,99522,99523,99524,99599,99695	1920	1914
Adak	AK	Aleutians West Census Area	51.87957	-176.63675	-10	1	99546		
Atka	AK	Aleutians West Census Area	52.227555	-174.19628	-10	1	99547	1988	
Chignik Lake	AK	Lake and Peninsula Borough	56.252156	-158.74638	-9	1	99548		
Port Heiden	AK	Lake and Peninsula Borough	56.946256	-158.62832	-9	1	99549	1972	
Port Lions	AK	Kodiak Island Borough	57.867089	-152.88568	-9	1	99550	1966	
Akiachak	AK	Bethel Census Area	60.88981	-161.42393	-9	1	99551		
Akiak	AK	Bethel Census Area	60.911865	-161.22577	-9	1	99552	1970	
Akutan	AK	Aleutians East Borough	54.098693	-165.88176	-9	1	99553	1979	
Alakanuk	AK	Kusilvak Census Area	62.683391	-164.65455	-9	1	99554	1969	
Aleknagik	AK	Dillingham Census Area	59.269535	-158.62458	-9	1	99555	1973	
Anchor Point	AK	Kenai Peninsula Borough	59.798363	-151.73566	-9	1	99556		
Aniak	AK	Bethel Census Area	61.570981	-158.88072	-9	1	99557	1972	
Anvik	AK	Yukon-Koyukuk Census Area	62.632905	-160.21336	-9	1	99558	1969	
Bethel	AK	Bethel Census Area	60.766603	-161.88006	-9	1	99559	1957	
Chefornak	AK	Bethel Census Area	60.143735	-164.25283	-9	1	99561	1974	
Chevak	AK	Kusilvak Census Area	61.527953	-165.57029	-9	1	99563	1967	
Chignik	AK	Lake and Peninsula Borough	56.298297	-158.4044	-9	1	99564	1983	
Chignik Lagoon	AK	Lake and Peninsula Borough	56.307535	-158.53502	-9	1	99565		
Chitina	AK	Valdez-Cordova Census Area	61.555701	-144.14233	-9	1	99566		
Clam Gulch	AK	Kenai Peninsula Borough	60.23458	-151.3934	-9	1	99568		
Cold Bay	AK	Aleutians East Borough	55.315003	-162.634	-9	1	99571	1982	
Cooper Landing	AK	Kenai Peninsula Borough	60.484146	-149.78153	-9	1	99572		
Copper Center	AK	Valdez-Cordova Census Area	61.832347	-145.2308	-9	1	99573		
Cordova	AK	Valdez-Cordova Census Area	60.474512	-145.40256	-9	1	99574	1909	
Crooked Creek	AK	Bethel Census Area	61.859821	-158.12888	-9	1	99575		
Dillingham	AK	Dillingham Census Area	59.068709	-158.44407	-9	1	99576	1963	
Eek	AK	Bethel Census Area	60.214239	-162.03799	-9	1	99578	1970	
Egegik	AK	Lake and Peninsula Borough	58.217621	-157.34841	-9	1	99579	1995	
Ekwok	AK	Dillingham Census Area	59.360233	-157.4838	-9	1	99580	1974	
Emmonak	AK	Kusilvak Census Area	62.729019	-164.29917	-9	1	99581	1964	
False Pass	AK	Aleutians East Borough	54.849999	-163.42011	-9	1	99583	1990	
Flat	AK	Yukon-Koyukuk Census Area	65.226375	-151.025085	-9	1	99584		
Marshall	AK	Kusilvak Census Area	61.878073	-162.08481	-9	1	99585	1970	
Gakona	AK	Valdez-Cordova Census Area	62.667589	-144.49059	-9	1	99586		
Glennallen	AK	Valdez-Cordova Census Area	62.12042	-145.58592	-9	1	99588		
