Alaska	1962
Alabama	1856
Arkansas	1873
Arizona	1915
California	1922
Colorado	1859
Connecticut	1765
District of Columbia	1790
Delaware	1825
Florida	1911
Georgia	1856
Hawaii	1904
Iowa	1889
Idaho	1890
Illinois	1893
Indiana	1876
Kansas	1881
Kentucky	1925
Louisiana	1826
Massachusetts	1744
Maryland	1853
Maine	1797
Michigan	1854
Minnesota	1872
Missouri	1859
Mississippi	1877
Montana	1883
North Carolina	1850
North Dakota	1890
Nebraska	1879
New Hampshire	1770
New Jersey	1877
New Mexico	1870
Nevada	1895
New York	1830
Ohio	1828
Oklahoma	1907
Oregon	1904
Pennsylvania	1826
Puerto Rico	1793
Rhode Island	1756
South Carolina	1860
South Dakota	1899
Tennessee	1872
Texas	1899
Utah	1876
Virginia	1820
Vermont	1811
Washington	1908
Wisconsin	1895
West Virginia	1825
Wyoming	1888
